date,net_pnl,transaction_cost,portfolio_value,leaders_pnl,stock_dip_pnl,index_dip_pnl,weight_leaders,weight_stock_dip,weight_index_dip,invested_weight,cash_weight,n_leaders,n_dips,top_holding,in_regime,daily_return
2019-10-01,-718.2145948127672,59.56633787148729,148197.63008390547,-650.8648598588919,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.004822956189533055
2019-10-02,-2955.671290823289,59.785925911699735,145241.9587930822,-1855.2598081515218,-490.95171161460985,-549.6738451454573,0.6,0.1875,0.21592025630133607,1.003420256301336,-0.003420256301335911,3,3,MSFT,True,-0.019944119815882805
2019-10-03,1947.5088763132012,0.0,147189.46766939538,1283.8021302407085,318.6528322911646,345.2486725599925,0.6,0.1875,0.21592025630133607,1.003420256301336,-0.003420256301335911,3,3,MSFT,True,0.013408720816604412
2019-10-04,1849.3890006756706,59.3792127720447,149038.85667007105,1908.7682134477152,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,0.012564682989611817
2019-10-07,-644.9007751421818,0.0,148393.95589492886,-652.6885664770095,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.004327064696757609
2019-10-08,-2696.303585044654,27.823866730299155,145697.6523098842,-2019.3759866860178,-649.1037316283374,-0.0,0.6,0.1875,0.0,0.7874999999999999,0.21250000000000013,3,3,MSFT,True,-0.01816990165659972
2019-10-09,2282.7841161795313,48.79641936900734,147980.43642606374,1492.4564837829546,557.2133528024065,281.91069896317777,0.6,0.25,0.19741561871719313,1.0474156187171932,-0.04741561871719324,3,5,AAPL,True,0.0156679540129053
2019-10-10,1407.292019336071,0.0,149387.7284453998,835.8134333332318,347.51172865271747,224.88333905743238,0.6,0.25,0.19741561871719313,1.0474156187171932,-0.04741561871719324,3,5,AAPL,True,0.009509986950465604
2019-10-11,2173.5487653112227,31.744892294647464,151561.27721071104,1606.1087036178526,216.07479213812022,380.3771218197891,0.6,0.0625,0.19741561871719313,0.8599156187171931,0.14008438128280687,3,1,AAPL,True,0.01454971427660231
2019-10-14,-279.2985569973887,39.393143139789984,151281.97865371365,-231.98891987949673,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.0018428094704499513
2019-10-15,1254.679446001412,28.3653709975713,152536.65809971507,971.8290460336802,307.0173354861412,0.0,0.6,0.1875,0.0,0.7874999999999999,0.21250000000000013,3,3,MSFT,True,0.008293647777263604
2019-10-16,-306.1932971797752,19.067082262464375,152230.4648025353,-213.98467378746398,-79.86406948041763,-0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,-0.0020073423726092968
2019-10-17,111.8457406876241,9.514404050158458,152342.31054322293,252.1422203442003,-136.24798209821714,0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AAPL,True,0.000734713257511918
2019-10-18,-1122.8773101008044,0.0,151219.43323312214,-850.0863993050782,-272.7909107957261,-0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AAPL,True,-0.007370751474733731
2019-10-21,1634.145031939217,0.0,152853.57826506137,1254.2784136737318,374.43772216376897,0.0,0.6,0.125,0.0,0.7249999999999999,0.27500000000000013,3,2,AAPL,True,0.01080644859592877
2019-10-22,-903.6017758001487,9.553348641566336,151949.97648926123,-717.1345634258728,-176.91386373270964,-0.0,0.6,0.0625,0.0,0.6625,0.3375,3,1,AAPL,True,-0.005911551342509136
2019-10-23,99.97649953577472,65.80206295487132,152049.952988797,122.78160022247967,-10.00047412681459,52.99743639498096,0.6,0.1875,0.18305082682603616,0.970550826826036,0.029449173173964005,3,3,MSFT,True,0.0006579566634078444
2019-10-24,1405.1218667503033,46.83911373705884,153455.0748555473,1336.1705636464542,109.09196244413103,0.0,0.6,0.0625,0.0,0.6624999999999999,0.33750000000000013,3,1,AAPL,True,0.009241185801970173
2019-10-25,1314.9124711448783,0.0,154769.98732669218,1015.5734813375946,299.33898980728367,0.0,0.6,0.0625,0.0,0.6624999999999999,0.33750000000000013,3,1,AAPL,True,0.008568712845649789
2019-10-28,2170.858887782274,9.673124207918262,156940.84621447444,2180.532011990192,0.0,0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,0.014026355660286857
2019-10-29,-1539.225882468832,0.0,155401.6203320056,-1547.419087700595,0.0,-0.0,0.6,0.0,0.0,0.6,0.4,3,0,AAPL,True,-0.009807681808758281
