date,net_pnl,transaction_cost,portfolio_value,invested_weight,net_weight,cash_weight,n_long,n_short,in_regime,holdings,shorts,daily_return
2018-03-12,-56.2155008041008,0.0,104124.10253153938,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.0005395980917110304
2018-03-13,-234.38343857618813,0.0,103889.71909296319,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.0022510008045946227
2018-03-14,-135.9280986285243,0.0,103753.79099433466,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.001308388354644528
2018-03-15,-72.7147550546724,0.0,103681.07623928,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.0007008395004924966
2018-03-16,136.6952641501131,0.0,103817.7715034301,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",0.001318420574981701
2018-03-19,-117.49227908472108,0.0,103700.27922434539,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.001131716442987212
2018-03-20,169.75831205541795,0.0,103870.0375364008,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",0.0016370092088967521
2018-03-21,309.1776575054078,0.0,104179.21519390622,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",0.002976581744249951
2018-03-22,-588.5641728104861,0.0,103590.65102109573,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.005649535482821655
2018-03-23,-42.15065414376863,0.0,103548.50036695196,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.0004068963147570609
2018-03-26,456.63183127382433,0.0,104005.1321982258,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",0.004409835291246388
2018-03-27,-596.1055188973812,0.0,103409.02667932841,1.0,-0.13942242293343354,1.1394224229334335,10,7,True,"SPY,QQQ,IWM,EFA,EEM,HYG,GLD,DBC,USO,FXY","VNQ,TLT,IEF,LQD,TIP,SLV,UUP",-0.00573150099709743
