date,portfolio_value,daily_return
2022-11-30,254707.81693606722,0.006926830756789792
2022-12-01,256287.80852493783,0.0062031531182540345
2022-12-02,256573.80968845077,0.0011159374500060437
2022-12-05,255532.8473952192,-0.0040571650492915445
2022-12-06,254728.0971364585,-0.003149302592460934
2022-12-07,254968.56384193257,0.0009440132760276665
2022-12-08,255592.37660591683,0.00244662618239877
2022-12-09,256704.1613184693,0.0043498351841169125
2022-12-12,256222.51915827434,-0.0018762538079677427
2022-12-13,256992.8515492009,0.0030064976078496564
2022-12-14,256797.99619646207,-0.0007582131236888445
2022-12-15,253567.33304488513,-0.012580562151681796
2022-12-16,253515.08687512798,-0.00020604456074757582
2022-12-19,253267.54866623424,-0.0009764239751761661
2022-12-20,253170.89824631021,-0.000381613911584866
2022-12-21,254550.96037271342,0.005451108859520382
2022-12-22,254533.42612557107,-6.888305240204673e-05
2022-12-23,254219.6791467118,-0.0012326356645373515
2022-12-27,252960.24953813126,-0.004954099591376271
2022-12-28,252011.03229540915,-0.0037524363786611836
2022-12-29,254159.3675654109,0.00852476675498659
2022-12-30,254655.11189422169,0.0019505255051563974
2023-01-03,255457.80198460777,0.0031520674547445005
2023-01-04,257720.38445885442,0.008856971510241785
2023-01-05,257679.83850533154,-0.0001573253648833317
2023-01-06,259463.58009198954,0.006922317232906483
2023-01-09,259778.10704368772,0.001212220041004075
2023-01-10,261297.1182269,0.005847341026920416
2023-01-11,262257.83991780446,0.0036767404762199085
2023-01-12,262862.5953733837,0.002305957586506535
2023-01-13,263333.3554791901,0.001790898036054589
2023-01-17,262280.80673646746,-0.003997020205842583
2023-01-18,261414.08219087764,-0.0033045671788736186
2023-01-19,259429.24608668865,-0.007592690063038421
2023-01-20,263753.0410935737,0.016666567367043195
2023-01-23,266457.79089753283,0.01025485731934972
2023-01-24,267564.72303603275,0.004154249477079874
2023-01-25,268039.3819320893,0.001773996551827306
2023-01-26,268070.43833561806,0.00011586507663507994
2023-01-27,267120.3121415227,-0.003544315441845969
2023-01-30,263701.7623747487,-0.012797790401513187
2023-01-31,265117.571948961,0.005368980326344142
2023-02-01,267447.6321981928,0.008788780887297731
2023-02-02,267758.08831371396,0.001160810858445327
2023-02-03,267418.4371243151,-0.0012685002030672354
2023-02-06,266126.6263781838,-0.004830671961226107
2023-02-07,266451.91392416373,0.0012223036469778403
2023-02-08,265786.4532043285,-0.0024974889841649084
2023-02-09,264701.3057613663,-0.004082779351165522
2023-02-10,261710.27722956176,-0.011299636483474873
