date,holding,net_pnl,portfolio_value,stop_active,day_ret,in_regime,daily_return
2018-07-16,SOXX,-175.26507714551954,140612.66760702978,False,-0.0012448870709586002,True,-0.0012448870709584892
2018-07-17,SOXX,2003.029453091606,142615.6970601214,False,0.014245014245014342,True,0.014245014245014342
2018-07-18,SOXX,1101.6661992003767,143717.36325932178,False,0.0077247191011236005,True,0.0077247191011236005
2018-07-19,SOXX,-300.45441796373007,143416.90884135806,False,-0.002090592334494712,True,-0.002090592334494601
2018-07-20,SOXX,-676.0224404184266,142740.88640093963,False,-0.004713687150838086,True,-0.004713687150838086
2018-07-23,SOXX,175.26507714550652,142916.15147808514,False,0.0012278547623223446,True,0.0012278547623223446
2018-07-24,SOXX,-1552.3478261459707,141363.80365193918,False,-0.010861948142957156,True,-0.010861948142957156
2018-07-25,SOXX,550.8330996001704,141914.63675153934,False,0.0038965639390717843,True,0.0038965639390717843
2018-07-26,SOXX,2754.165498000944,144668.80224954028,False,0.019407198306280904,True,0.019407198306280904
2018-07-27,SOXX,-625.9467040911219,144042.85554544916,False,-0.004326756663205256,True,-0.004326756663205256
2018-07-30,SOXX,-1427.158485327766,142615.6970601214,False,-0.00990787415261607,True,-0.00990787415261607
2018-07-31,SOXX,951.4389902185158,143567.1360503399,False,0.0066713483146068064,True,0.0066713483146068064
2018-08-01,SOXX,-200.3029453091666,143366.83310503073,False,-0.0013951866062086316,True,-0.0013951866062086316
2018-08-02,SOXX,1402.120617164121,144768.95372219486,False,0.009779951100244544,True,0.009779951100244544
2018-08-03,SOXX,300.45441796371904,145069.40814015857,False,0.0020754064337598077,True,0.0020754064337598077
2018-08-06,SOXX,876.3253857275846,145945.73352588614,False,0.006040731791508547,True,0.006040731791508547
2018-08-07,SOXX,1151.7419355276636,147097.4754614138,False,0.007891576599759809,True,0.007891576599759809
2018-08-08,SOXX,350.5301542910213,147448.0056157048,False,0.0023829787234042055,True,0.0023829787234042055
2018-08-09,SOXX,-1452.1963534913953,145995.8092622134,False,-0.009848870776023033,True,-0.009848870776023033
2018-08-10,SOXX,-3630.4908837285147,142365.3183784849,False,-0.024867089693020095,True,-0.024867089693020095
2018-08-13,SOXX,200.30294530915666,142565.62132379404,False,0.00140696447414701,True,0.00140696447414701
2018-08-14,SOXX,-275.4165498000905,142290.20477399396,False,-0.0019318580962416343,True,-0.0019318580962415233
2018-08-15,SOXX,-1977.9915849279396,140312.213189066,False,-0.013901108569417508,True,-0.01390110856941762
2018-08-16,SOXX,-175.2650771455208,140136.9481119205,False,-0.0012491077801570771,True,-0.001249107780156966
2018-08-17,SOXX,-1051.5904628730868,139085.35764904742,False,-0.007504020010720036,True,-0.007504020010719925
2018-08-20,SOXX,-125.18934081821338,138960.16830822921,False,-0.0009000900090008201,True,-0.0009000900090008201
2018-08-21,SOXX,2729.1276298372973,141689.2959380665,False,0.01963963963963966,True,0.01963963963963966
2018-08-22,SOXX,650.984572254774,142340.28051032126,False,0.004594451316487058,True,0.004594451316487058
2018-08-23,SOXX,175.26507714551994,142515.54558746677,False,0.0012313104661390017,True,0.0012313104661390017
2018-08-24,SOXX,2053.10518941889,144568.65077688565,False,0.014406184118060494,True,0.014406184118060494
2018-08-27,SOXX,2303.483871055319,146872.13464794098,False,0.015933494977485196,True,0.015933494977485196
2018-08-28,SOXX,575.8709677638411,147448.00561570484,False,0.003920900102284408,True,0.003920900102284408
2018-08-29,SOXX,375.5680224546755,147823.57363815952,False,0.0025471217524197787,True,0.0025471217524197787
2018-08-30,SOXX,-1327.007012673182,146496.56662548633,False,-0.00897696476964771,True,-0.00897696476964771
2018-08-31,SOXX,801.2117812366378,147297.77840672297,False,0.0054691505725517064,True,0.0054691505725517064
2018-09-04,SOXX,1176.7798036912977,148474.55821041425,False,0.00798912119666828,True,0.00798912119666828
2018-09-05,SOXX,-701.0603085820383,147773.49790183222,False,-0.004721753794266315,True,-0.004721753794266315
2018-09-06,SOXX,-3930.945301692245,143842.55260013998,False,-0.026601152151812912,True,-0.0266011521518128
2018-09-07,SOXX,-600.9088359274904,143241.6437642125,False,-0.004177545691906093,True,-0.004177545691906093
2018-09-10,SOXX,1527.3099579823245,144768.95372219483,False,0.010662471595874745,True,0.010662471595874745
2018-09-11,SOXX,-1402.1206171641131,143366.8331050307,False,-0.009685230024213065,True,-0.009685230024213176
2018-09-12,SOXX,-1652.4992988005472,141714.33380623016,False,-0.01152637093957376,True,-0.01152637093957376
2018-09-13,SOXX,1602.423562473279,143316.75736870343,False,0.011307420494699683,True,0.011307420494699683
2018-09-14,SOXX,1627.461430636914,144944.21879934033,False,0.011355695317959436,True,0.011355695317959436
2018-09-17,SOXX,-2028.0673212552458,142916.15147808508,False,-0.013992053895318768,True,-0.013992053895318768
2018-09-18,SOXX,1226.8555400186108,144143.0070181037,False,0.00858444288717597,True,0.00858444288717597
2018-09-19,SOXX,225.34081347278072,144368.34783157648,False,0.0015633142261592958,True,0.0015633142261592958
2018-09-20,SOXX,1752.650771455161,146120.99860303165,False,0.01214013180714546,True,0.01214013180714546
2018-09-21,SOXX,-400.6058906183059,145720.39271241333,False,-0.002741603838245288,True,-0.002741603838245399
2018-09-24,SOXX,500.75736327289627,146221.15007568622,False,0.0034364261168384758,True,0.0034364261168384758
2018-09-25,SOXX,-2328.521739218971,143892.62833646726,False,-0.015924657534246545,True,-0.015924657534246545
2018-09-26,SOXX,-1477.2342216550403,142415.39411481222,False,-0.010266225856968791,True,-0.01026622585696868
2018-09-27,SOXX,525.7952314365564,142941.18934624878,False,0.003691983122362963,True,0.003691983122362963
2018-09-28,SOXX,901.3632538912046,143842.55260013998,False,0.006305832895428187,True,0.006305832895428187
2018-10-01,QQQ,149.53073467000365,143992.08333480998,False,0.0020395445017280522,True,0.0010395445017279403
2018-10-02,QQQ,-325.645012347626,143666.43832246235,False,-0.0022615480296263035,True,-0.0022615480296264145
2018-10-03,QQQ,154.68138086512792,143821.11970332748,False,0.001076670255567569,True,0.001076670255567569
2018-10-04,QQQ,-2759.8414796460856,141061.27822368138,False,-0.01918940337371211,True,-0.01918940337371222
2018-10-05,QQQ,-1725.9185654424036,139335.35965823897,False,-0.012235239799157416,True,-0.012235239799157416
2018-10-08,QQQ,-854.8181574125196,138480.54150082645,False,-0.00613496932515345,True,-0.00613496932515345
2018-10-09,QQQ,447.7618919779975,138928.30339280446,False,0.0032333921222811313,True,0.0032333921222811313
2018-10-10,QQQ,-6105.843981517918,132822.45941128655,False,-0.04394960445355989,True,-0.04394960445355989
2018-10-11,QQQ,-1652.648437664178,131169.81097362237,False,-0.012442537542139087,True,-0.012442537542139087
2018-10-12,QQQ,3655.365263602084,134825.17623722446,False,0.02786742800397235,True,0.02786742800397235
2018-10-15,QQQ,-1636.3661870468159,133188.81005017765,False,-0.012136948251917246,True,-0.012136948251917135
2018-10-16,QQQ,3875.175646936729,137063.98569711437,False,0.029095354523227535,True,0.029095354523227535
2018-10-17,QQQ,56.987877160829726,137120.9735742752,False,0.0004157757186979971,True,0.0004157757186979971
2018-10-18,QQQ,-3175.0388703893204,133945.9347038859,False,-0.023155019889568362,True,-0.02315501988956825
2018-10-19,QQQ,-130.25800493904345,133815.67669894686,False,-0.0009724670272898139,True,-0.0009724670272898139
2018-10-22,QQQ,691.9956512386932,134507.67235018554,False,0.005171259962280184,True,0.005171259962280184
2018-10-23,QQQ,-496.6086438301074,134011.06370635543,False,-0.00369204696767933,True,-0.00369204696767933
2018-10-24,QQQ,-6130.267357444003,127880.79634891143,False,-0.04574448696919997,True,-0.04574448696919997
2018-10-25,QQQ,4420.6310426189575,132301.4273915304,False,0.03456837280366676,True,0.03456837280366676
2018-10-26,QQQ,-3402.990379032635,128898.43701249776,False,-0.025721494061903716,True,-0.025721494061903716
2018-10-29,QQQ,-2654.0068506331377,126244.43016186461,False,-0.020589907155940224,True,-0.020589907155940224
2018-10-30,QQQ,2084.128079024779,128328.5582408894,False,0.01650867350228924,True,0.01650867350228924
2018-10-31,QQQ,3012.2163642155174,131340.7746051049,False,0.023472689208906994,True,0.023472689208906994
2018-11-01,QQQ,1734.0596907510728,133074.83429585598,False,0.013202752122977612,True,0.013202752122977612
2018-11-02,QQQ,-2067.845828407417,131006.98846744857,False,-0.015538969778539191,True,-0.015538969778539191
2018-11-05,QQQ,-325.6450123476113,130681.34345510096,False,-0.002485707183693675,True,-0.002485707183693675
2018-11-06,QQQ,985.0761623515493,131666.4196174525,False,0.007538001495140723,True,0.007538001495140723
2018-11-07,QQQ,4135.691656814808,135802.1112742673,False,0.031410375316886174,True,0.031410375316886174
2018-11-08,QQQ,-871.1004080298827,134931.01086623743,False,-0.006414483544151972,True,-0.006414483544151972
2018-11-09,QQQ,-2271.3739611246883,132659.63690511274,False,-0.01683359478701596,True,-0.01683359478701596
2018-11-12,QQQ,-4013.574777184427,128646.06212792831,False,-0.030254679349493552,True,-0.030254679349493552
2018-11-13,QQQ,105.83462901297423,128751.89675694128,False,0.0008226806733324654,True,0.0008226806733324654
2018-11-14,QQQ,-985.0761623515591,127766.82059458972,False,-0.007650964274423022,True,-0.007650964274423022
2018-11-15,QQQ,2238.8094598898933,130005.63005447961,False,0.017522620109595932,True,0.017522620109595932
2018-11-16,QQQ,-455.90301728666907,129549.72703719295,False,-0.00350679441417745,True,-0.00350679441417745
2018-11-19,QQQ,-4257.808536445159,125291.9185007478,False,-0.03286621001696721,True,-0.03286621001696721
2018-11-20,QQQ,-2189.962708037767,123101.95579271002,False,-0.01747888239116313,True,-0.01747888239116313
2018-11-21,QQQ,936.2294104994319,124038.18520320946,False,0.007605317108656973,True,0.007605317108656973
2018-11-23,QQQ,-903.6649092646636,123134.52029394479,False,-0.007285376739301741,True,-0.007285376739301741
2018-11-26,QQQ,2849.3938580416934,125983.91415198648,False,0.023140495867768562,True,0.023140495867768562
2018-11-27,QQQ,423.33851605190705,126407.25266803839,False,0.0033602584814216296,True,0.0033602584814216296
2018-11-28,QQQ,4070.562654345274,130477.81532238366,False,0.03220197076061049,True,0.03220197076061049
2018-11-29,QQQ,-423.33851605192245,130054.47680633173,False,-0.003244524864291609,True,-0.003244524864291609
2018-11-30,QQQ,944.3705358081085,130998.84734213984,False,0.0072613458528951735,True,0.0072613458528951735
2018-12-03,QQQ,2287.656211742042,133286.5035538819,False,0.017463178174134564,True,0.017463178174134564
2018-12-04,QQQ,-5112.626693857667,128173.87686002422,False,-0.03835817248961637,True,-0.03835817248961637
2018-12-06,QQQ,911.806034573339,129085.68289459756,False,0.007113821138211351,True,0.007113821138211351
2018-12-07,QQQ,-4265.949661753864,124819.73323284369,False,-0.033047426841574246,True,-0.033047426841574246
2018-12-10,QQQ,1302.5800493904762,126122.31328223417,False,0.01043569006000511,True,0.01043569006000511
2018-12-11,QQQ,415.1973907432396,126537.51067297741,False,0.0032920216886136444,True,0.0032920216886136444
2018-12-12,QQQ,1115.3341672906085,127652.84484026802,False,0.008814257221900546,True,0.008814257221900546
2018-12-13,QQQ,40.70562654344356,127693.55046681146,False,0.00031887755102033566,True,0.00031887755102033566
