date,equity,spot,vix,realised_vol,vrp,in_position,book_value,delta,gamma,vega,theta,hedge_shares,delta_pnl,gamma_pnl,vega_pnl,theta_pnl,residual_pnl,interest,costs,action,portfolio_value,daily_return,in_regime
2021-08-30,198281.50760234773,422.64,16.19,9.49011674005068,6.6998832599493205,True,616.0437774966033,0.0,-104.93878644703575,-83.14405799239022,668.655940429602,291.9971361842561,0.0,-94.9717166097138,35.30105814972711,1070.0397365163694,433.880989391266,0.0,1.5767645567132347,,198281.50760234773,0.007329210762832217,True
2021-08-31,198243.0506551323,422.02,16.48,9.218674478088,7.261325521912001,True,7143.532064352922,-4.662936703425657e-13,-38.23057105937221,-922.2792742730983,253.3193621400472,0.0,-0.0,-20.169234755120566,-24.111776817793093,668.655940429602,-189.36937579432504,0.0,473.4625002777971,expire+sell,198243.0506551323,-0.0001939512548621014,True
2021-09-01,198827.5564821202,422.24,16.11,8.940134848352692,7.169865151647308,True,6558.698107435288,0.0,-39.01907605641678,-890.4230646520892,247.20580863245834,7.771171128236231,-1.0258460747537719e-13,-0.9251798196370369,341.2433314810473,253.3193621400472,-8.803556883823148,0.0,0.32812992971864663,,198827.5564821202,0.0029484303487878893,True
2021-09-02,198802.0357231062,423.54,16.41,8.750068181366547,7.659931818633453,True,6617.867585226582,0.0,-38.81810643380461,-876.5909022074429,256.03500420516616,60.944691094658744,0.0,-32.971119267672755,-267.1269193956274,247.20580863245834,3.825274706254575,25.79830757522313,2.2521112646578594,,198802.0357231062,-0.0001283562473207711,True
2021-09-03,199035.10347250316,423.44,16.41,8.484002612745565,7.925997387254435,True,6352.686666793114,0.0,-39.19588246067015,-853.107361212632,258.41162058530006,55.58265046669043,-0.0,-0.1940905321691113,-0.0,256.03500420516616,3.2455356510045306,-25.79164967867674,0.2270502483506902,,199035.10347250316,0.0011723609798521828,True
2021-09-07,198703.05176152723,421.92,18.14,8.34313487289371,9.79686512710629,True,6597.861031169481,1.7763568394002505e-15,-39.002748304868966,-793.6475676661449,312.9897812382657,-1.1038751825136899,-0.0,-45.279083418565065,-1475.8757348978536,1033.6464823412002,157.84834288948247,0.0,2.3917178901912206,,198703.05176152723,-0.001668307274358849,True
2021-09-08,199149.33489356373,421.41,17.96,8.102613402584916,9.857386597415084,True,6151.267457699413,0.0,-39.670917510563804,-762.6373447543715,311.6223464979097,-21.8299561164497,-9.059419880941116e-16,-5.0723074170480285,142.85656217990586,312.9897812382657,-3.617486187973725,0.0,0.8734177766369974,,199149.33489356373,0.0022459802608976176,True
2021-09-09,198773.1770925754,419.61,18.8,8.02943292650382,10.770567073496181,True,6563.818998923165,0.0,-39.26713607669721,-747.8339309005142,336.1038277603682,-90.94605854950493,-0.0,-64.26688636711418,-640.615369593672,311.6223464979097,20.002289248734257,0.0,2.9001807741934305,,198773.1770925754,-0.0018888227831107551,True
2021-09-10,197333.78870658515,416.3,20.95,8.36731097997023,12.58268902002977,True,8299.397681257386,0.0,-37.174254827111035,-739.5648331499292,390.4196406294314,-207.23617276809915,-0.0,-215.10733478495146,-1607.8429514361046,336.1038277603682,52.29922992532897,0.0,4.8411574549200775,,197333.78870658515,-0.0072413612693823515,True
2021-09-13,199545.86987603182,417.36,19.37,8.172604279694742,11.19739572030526,True,5866.7408763355415,0.0,-40.45953797658136,-635.8113028941291,364.9834082837057,-185.5452502790638,0.0,-20.88449636187107,1168.5124363768869,1171.2589218882943,-105.90040011565179,0.0,0.9052923410023798,,199545.86987603182,0.011209844922887457,True
2021-09-14,199746.76785120514,415.11,19.46,8.196238679259695,11.263761320740306,True,6079.433909226958,0.0,-40.38930008144024,-593.6940174815555,365.1673979787013,-279.15429518617776,-0.0,-102.41320550322156,-57.22301726047153,364.9834082837057,-0.5634052835359,0.0,3.8858050631392076,,199746.76785120514,0.0010067759122156517,True
2021-09-15,200602.46426158003,418.58,18.18,8.585626942152945,9.594373057847054,True,4249.428727699373,0.0,-42.45848260311271,-555.7937898887496,338.9627228303034,-144.3325918875897,0.0,-243.16176167530276,759.9283423763918,365.1673979787013,-20.59420144823332,0.0,5.643366856672299,,200602.46426158003,0.004283906165692297,True
2021-09-16,200662.93652701398,417.92,18.69,8.346623244333921,10.34337675566608,True,4283.051998861717,0.0,-42.49491650164782,-532.0687635969642,357.7187463387274,-172.18419146401223,-0.0,-9.247457510957055,-283.4548328432632,338.9627228303034,15.375807007377219,0.0,1.1639740494978503,,200662.93652701398,0.0003014532531120384,True
2021-09-17,199595.78046245477,413.84,20.81,8.93850527877437,11.871494721225629,True,6046.018030846782,0.0,-40.59521316365879,-515.302589723162,417.36486304834716,-334.1195710145605,-0.0,-353.69368902652224,-1127.9857788255629,357.7187463387274,63.506190701469905,0.0,6.701533747319889,,199595.78046245477,-0.005318152335598625,True
2021-09-20,197873.87802224097,406.94,25.71,10.822917657404139,14.887082342595862,True,10063.403601752476,0.0,-35.30153313166996,-411.77838002289934,537.7247081963925,-578.4285430641318,-0.0,-966.3690493608912,-2524.9826896434947,1252.0945891450415,527.2966189541098,0.0,9.941909308585252,,197873.87802224097,-0.008626948105938004,True
2021-09-21,198906.3039144987,406.56,24.36,10.49948842419587,13.860511575804129,True,9249.068902650899,0.0,-36.60733306316814,-363.44970018586497,500.8539962437359,-620.5294189054254,-0.0,-2.54877069210651,555.9008130309147,537.7247081963925,-56.93920506925633,0.0,1.7116532082036326,,198906.3039144987,0.005217595685579557,True
